Sort_Date,Plot_Treatment,Plot_Replicate,Drought_Treatment,Plot_ID,Footprint_Full,Sample_Date,Sample_Week,Days_Since_Irrigation,Genus,Epithet,Species,Reproductive_Yes1_No0,Number,Voucher,Sorter,Notes
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Solenopsis,molesta,Solenopsis molesta,0,2,NHKBS3365,JDS,
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Tetramorium,immigrans,Tetramorium immigrans,0,2,NHKBS3366,JDS,
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Aphaenogaster,rudis,Aphaenogaster rudis,0,2,NHKBS3367,JDS,
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Myrmica,americana,Myrmica americana,0,6,NHKBS3368,JDS,
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Formica,glacialis,Formica glacialis,0,5,NHKBS3369,JDS,
8/2/2021,T7,R5,IR,T7_R5_IR,Control (irrigated),7/6/2021,1,0,Lasius,neoniger,Lasius neoniger,0,5,NHKBS3370,JDS,
8/30/2021,T2,R4,IR,T2_R4_IR,Control (irrigated),7/6/2021,1,0,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3501,JDS,
8/30/2021,T2,R4,IR,T2_R4_IR,Control (irrigated),7/6/2021,1,0,Solenopsis,molesta,Solenopsis molesta,0,3,NHKBS3502,JDS,
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Formica,incerta,Formica incerta,0,3,NHKBS3205,JDS,"changed ID from F. difficilis to F. incerta, 14 Oct 21, JDS"
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Brachymyrmex ,depilis,Brachymyrmex  depilis,0,1,NHKBS3206,JDS,
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Nylanderia,parvula,Nylanderia parvula,0,2,NHKBS3208,JDS,
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Aphaenogaster,rudis,Aphaenogaster rudis,0,1,NHKBS3209,JDS,
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Lasius,neoniger,Lasius neoniger,0,6,NHKBS3211,JDS,
7/9/2021,T7,R6,IR,T7_R6_IR,Control (irrigated),7/7/2021,1,1,Myrmica,americana,Myrmica americana,0,60,NHKBS3213,JDS,
